hue_1,saturation_1,lightness_1,hue_2,saturation_2,lightness_2,good_combo
18,212,84,9,208,71,1
33,87,85,27,122,38,1
42,58,13,85,51,10,1
23,122,155,231,85,24,1
144,163,241,31,76,149,1
223,27,163,210,29,103,1
46,133,75,42,115,31,1
145,47,103,223,30,221,1
33,76,150,38,47,97,1
30,89,20,30,78,89,1
19,37,156,18,69,100,1
161,32,235,146,68,50,1
14,69,211,173,40,44,1
89,26,154,25,57,148,1
15,82,156,13,67,99,1
34,67,9,78,119,7,1
7,163,119,21,127,247,1
33,87,85,27,122,38,1
21,131,155,25,208,183,1
0,17,7,106,72,7,1
19,102,161,17,98,6,1
14,127,237,247,90,221,1
251,176,117,224,151,34,1
113,21,131,21,141,124,1
13,77,36,17,60,89,1
14,123,15,16,112,103,1
147,66,161,24,30,157,1
24,144,88,33,200,108,1
22,114,14,248,167,20,1
29,207,27,26,177,82,1
13,109,107,142,100,157,1
222,16,98,221,12,149,1
245,227,92,247,231,42,1
10,147,38,12,157,88,1
25,72,160,33,95,97,1
24,72,160,34,105,95,1
6,122,104,135,128,95,1
215,65,25,170,24,106,1
217,9,137,207,9,118,1
8,57,22,250,198,22,1
37,109,244,147,161,181,1
46,127,10,76,115,5,1
13,110,37,17,63,90,1
154,60,17,19,93,30,1
11,96,166,245,45,103,1
23,198,141,12,231,134,1
148,36,213,16,79,160,1
30,89,20,29,76,90,1
14,85,105,14,153,7,1
144,65,153,143,77,107,1
146,66,161,24,30,158,1
29,115,216,28,63,150,1
16,122,158,9,93,105,1
232,178,33,10,122,164,1
42,17,7,170,51,15,1
7,180,17,247,176,13,1
32,85,19,246,121,21,1
222,30,88,238,49,38,1
46,43,149,32,124,84,1
47,44,149,31,127,84,1
25,98,248,27,107,90,1
113,21,131,21,141,124,1
51,123,31,89,100,38,1
12,202,29,17,160,84,1
19,65,98,29,146,224,1
23,54,213,18,38,162,1
138,105,149,17,141,208,1
250,210,34,6,170,21,1
17,123,93,142,52,159,1
13,102,35,24,100,152,1
14,99,11,20,139,162,1
15,56,38,18,46,83,1
153,45,28,13,113,32,1
134,217,40,27,81,153,1
32,100,16,76,75,8,1
12,81,42,17,49,90,1
112,37,157,139,174,88,1
42,36,251,112,127,241,1
148,134,236,21,21,231,1
15,55,160,22,59,214,1
239,66,27,175,39,110,1
85,77,11,47,136,15,1
104,46,213,30,85,148,1
15,82,156,13,67,99,1
33,139,26,235,85,39,1
238,130,171,242,110,142,1
32,72,149,18,142,95,1
85,45,8,42,60,10,1
146,99,212,27,32,89,1
36,130,20,74,85,12,1
7,62,22,245,29,38,1
15,122,36,172,103,18,1
0,0,3,85,47,13,1
12,60,21,17,72,168,1
10,102,15,13,71,171,1
24,144,87,33,198,109,1
36,98,19,70,109,14,1
109,35,212,27,76,226,1
137,236,41,140,62,95,1
25,66,161,33,59,205,1
25,59,154,13,89,104,1
31,85,6,85,102,5,1
148,36,213,17,80,160,1
251,176,117,224,151,34,1
145,45,103,223,30,221,1
233,44,159,231,39,105,1
137,67,96,115,52,88,1
0,0,2,178,60,10,1
136,66,96,115,50,88,1
30,199,27,26,177,82,1
44,114,215,222,118,169,1
16,63,36,19,32,87,1
29,122,216,28,58,159,1
137,181,164,139,167,214,1
24,113,208,24,60,163,1
238,130,171,242,110,142,1
9,115,38,207,78,42,1
239,53,38,229,30,92,1
37,78,13,85,46,11,1
20,69,93,21,84,149,1
26,52,159,25,75,246,1
12,85,31,14,60,95,1
35,226,219,138,173,155,1
138,144,85,39,44,88,1
14,108,106,142,103,157,1
36,173,227,33,110,147,1
2,186,41,5,80,99,1
29,132,12,19,114,96,1
141,74,146,81,15,91,1
106,69,11,21,23,11,1
244,63,163,241,40,102,1
20,71,164,0,58,35,1
153,211,29,21,32,224,1
15,89,167,163,57,42,1
24,105,17,239,85,16,1
19,101,86,31,112,146,1
35,226,219,138,173,155,1
30,71,242,24,89,91,1
139,147,85,39,41,88,1
137,55,146,2,220,88,1
27,28,89,21,36,42,1
26,79,205,28,42,180,1
229,232,140,165,120,28,1
225,41,39,171,36,99,1
7,68,20,12,66,174,1
35,105,83,36,89,38,1
15,164,96,6,196,39,1
51,115,5,85,63,8,1
31,87,217,14,128,168,1
15,89,167,163,57,42,1
17,90,100,14,94,152,1
246,76,95,18,93,245,1
246,190,31,18,93,19,1
150,129,28,19,74,96,1
247,53,106,242,52,41,1
146,120,151,24,69,148,1
154,63,16,19,102,30,1
15,127,24,19,114,85,1
21,133,156,25,205,182,1
85,63,8,34,51,12,1
5,255,4,251,215,19,1
30,84,149,106,42,213,1
20,172,150,24,100,89,1
146,99,212,27,31,89,1
42,36,3,170,51,12,1
248,218,34,7,147,26,1
161,43,43,163,29,91,1
33,70,148,19,140,95,1
12,66,32,16,47,91,1
17,22,112,24,51,137,1
14,91,12,106,85,6,1
231,52,174,178,58,169,1
89,25,154,26,55,147,1
233,178,33,11,123,164,1
149,204,100,152,214,50,1
15,164,96,6,196,39,1
146,67,47,40,38,140,1
149,206,99,153,208,49,1
29,90,155,35,88,84,1
219,34,44,183,19,105,1
19,56,29,155,34,33,1
25,115,5,170,153,5,1
41,56,88,35,64,141,1
20,75,93,24,112,37,1
34,106,12,18,97,97,1
170,69,5,42,36,3,1
10,120,38,207,76,41,1
11,98,167,244,47,103,1
21,191,211,20,123,166,1
157,93,9,34,75,17,1
26,52,159,25,75,246,1
36,105,8,85,85,7,1
7,102,100,238,67,34,1
18,127,223,11,93,170,1
